question_id,clustering_method,model_type,model_version,num_clusters,variance
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,2,15.180125225030357
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,3,16.797927904696426
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,4,20.451179616348814
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,5,17.142947461776238
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,6,20.581916750635056
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,7,17.7234117071672
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,8,15.508718280679956
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,9,11.563305138382184
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,10,10.57304008516403
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,11,13.204217392113293
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,12,14.638457374957008
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,13,13.51242219226801
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,14,15.34175024700491
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,15,16.066378390881024
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,16,15.301747858787174
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,17,16.48646510095336
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,18,17.287212507966956
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,19,17.281449520578434
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,20,17.832049803079197
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,21,18.37282631586976
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,22,18.539871175964382
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,23,17.258713130950184
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,24,15.361088781849679
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,25,13.786906693617617
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,26,13.916606031274263
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,27,14.087318826669145
